id,playbackSpeedChanges,tutorialEndedAt,createdAt,isFinalEpisodeSave,episodeCount,mainTotalDurationSec,mainDurationSecAtSave,timeSpentOnPageSec,fileName,mainStartedAt,tutorialDurationSec,videoPauseCount,prolificId,tutorialStartedAt,mainEndedAt,experimentSessionId,feedback_details_json
"1pr6CgiUm0ZWW6QJQrkZ","[]","2026-04-21T05:40:00.546Z","2026-04-21T05:46:11.856Z",false,2,,371.31,154,"small_corridor_5_7520000.json","2026-04-21T05:40:00.546Z",144,4,"69c57c992edd649f653d0cc6","2026-04-21T05:37:36.548Z",,"5cabd15e-f41d-4d1e-a284-f9aa7632be25","[{""sentiment"":1,""baseFrame"":68,""DidSpecifyRange"":true,""endFrame"":71,""timeSpentWritingFeedBackSec"":67.22,""index"":2,""createdAt"":""2026-04-21T05:46:12.453Z"",""feedback"":""Unsure what chef in the blue hat is doing here. He seems to be pacing around while chef in the green hat is moving all about."",""reason"":""Questioning what blue chef's role is here."",""startFrame"":50},{""sentiment"":2,""endFrame"":34,""DidSpecifyRange"":true,""baseFrame"":32,""index"":1,""timeSpentWritingFeedBackSec"":43.03,""reason"":""There is a better way to complete this task."",""feedback"":""Taking the onions to the pot one at a time seems very inefficient. "",""startFrame"":14,""createdAt"":""2026-04-21T05:46:12.298Z""}]"
"2AbcIJ7jnfI8gxAwb7C9","[]","2026-04-21T05:49:36.876Z","2026-04-21T05:51:37.015Z",false,1,,120.14,128,"random3_5_7520000.json","2026-04-21T05:49:36.876Z",310.69,1,"67e1da8a432675c0e850e8d1","2026-04-21T05:44:26.183Z",,"9e7935fd-9878-4139-b583-476f7029dbe4","[{""sentiment"":5,""baseFrame"":67,""DidSpecifyRange"":true,""endFrame"":69,""timeSpentWritingFeedBackSec"":56.32,""index"":1,""createdAt"":""2026-04-21T05:51:38.284Z"",""startFrame"":65,""reason"":""For update"",""feedback"":""It is going really well""}]"
"3qWZ8Uw942SZzXEOQnY8","[]","2026-04-21T05:40:00.546Z","2026-04-21T05:49:21.674Z",false,3,,561.13,189,"random0_medium_5_7520000.json","2026-04-21T05:40:00.546Z",144,2,"69c57c992edd649f653d0cc6","2026-04-21T05:37:36.548Z",,"5cabd15e-f41d-4d1e-a284-f9aa7632be25","[{""feedback"":""Both are working together and efficiently, getting more done while both are simultaneously doing the same task for a greater output "",""reason"":""Seeing the increased efficiency in their tasking and output"",""startFrame"":5,""createdAt"":""2026-04-21T05:49:22.176Z"",""timeSpentWritingFeedBackSec"":62.43,""index"":1,""endFrame"":29,""baseFrame"":27,""DidSpecifyRange"":true,""sentiment"":5},{""sentiment"":1,""baseFrame"":73,""DidSpecifyRange"":true,""endFrame"":75,""timeSpentWritingFeedBackSec"":77.06,""index"":2,""createdAt"":""2026-04-21T05:49:22.331Z"",""startFrame"":54,""reason"":""Blue chef seems to now be working harder than green chef"",""feedback"":""Green chef is pacing seemingly without purpose here while blue chef continues to work. It makes green chef look lazy or tired""}]"
"46bH62owYmzHlQFcxs87","[]","2026-04-21T05:31:40.200Z","2026-04-21T05:52:39.845Z",true,5,1259.64,1259.64,232,"multiplayer_schelling_5_7520000.json","2026-04-21T05:31:40.200Z",123.28,2,"69e2ed0fa8552ceab65b6a83","2026-04-21T05:29:36.918Z","2026-04-21T05:52:39.844Z","d765d347-866f-4e0e-9b3b-a23077f23d8a","[{""reason"":""The AI gets confused trying to have all the chef put there onions at the same pot. Because of this they get stuck on one another. Wasting time."",""feedback"":""The Chef get stuck"",""startFrame"":7,""createdAt"":""2026-04-21T05:52:40.486Z"",""index"":1,""timeSpentWritingFeedBackSec"":95.83,""endFrame"":13,""baseFrame"":9,""DidSpecifyRange"":true,""sentiment"":1},{""startFrame"":0,""feedback"":""The AI mainly focuses on one pot"",""reason"":""I assume it happens because the AI momentarily forgets that the upper pot exists and tells all the chefs to do everything with the bottom pot."",""createdAt"":""2026-04-21T05:52:40.616Z"",""timeSpentWritingFeedBackSec"":85.85,""index"":2,""endFrame"":99,""baseFrame"":0,""DidSpecifyRange"":true,""sentiment"":1}]"
"6ytXWoKjf0fIx2En0Smn","[]","2026-04-21T05:41:38.950Z","2026-04-21T05:50:30.252Z",false,2,,531.3,352,"small_corridor_5_7520000.json","2026-04-21T05:41:38.950Z",465,0,"66e9a45427bb5c6168d41030","2026-04-21T05:33:53.952Z",,"ea7bbdac-d663-44a3-a645-682fa8b4d4f1","[]"
"6zcw4QOofOIcmDB8HKpJ","[]","2026-04-21T06:17:42.115Z","2026-04-21T06:33:08.432Z",true,5,926.32,926.32,614,"multiplayer_schelling_5_7520000.json","2026-04-21T06:17:42.115Z",115.01,9,"64a9858be9b52e570ffb3c1e","2026-04-21T06:15:47.103Z","2026-04-21T06:33:08.432Z","8490d32f-dd25-4b53-be7c-6dde7e8b9763","[{""reason"":""Inefficient decision making and movement."",""feedback"":""They are all, focusing on the bottom stove again, and the top stove is not being used properly."",""startFrame"":42,""createdAt"":""2026-04-21T06:33:09.246Z"",""index"":2,""timeSpentWritingFeedBackSec"":101.3,""endFrame"":48,""baseFrame"":17,""DidSpecifyRange"":true,""sentiment"":2},{""sentiment"":4,""endFrame"":92,""baseFrame"":45,""DidSpecifyRange"":true,""timeSpentWritingFeedBackSec"":40.32,""index"":3,""startFrame"":85,""feedback"":""Finally using the other stove, but a little too late."",""reason"":""Made some good decisions, but it was far too late."",""createdAt"":""2026-04-21T06:33:09.421Z""},{""endFrame"":17,""DidSpecifyRange"":true,""baseFrame"":10,""sentiment"":2,""startFrame"":7,""feedback"":""They all went to the same stove, which caused a delay."",""reason"":""Inefficient decision making."",""createdAt"":""2026-04-21T06:33:09.046Z"",""timeSpentWritingFeedBackSec"":24.01,""index"":1}]"
"70BAc5eVY7Ib6Srkiqp6","[]","2026-04-21T05:47:52.131Z","2026-04-21T05:51:01.956Z",false,1,,189.82,192,"random3_5_7520000.json","2026-04-21T05:47:52.131Z",241.4,6,"698ea1be50ea8dbf93448cff","2026-04-21T05:43:50.729Z",,"bc18b8ba-70b6-4457-b050-d22dc1b24b45","[{""baseFrame"":48,""DidSpecifyRange"":true,""endFrame"":50,""sentiment"":5,""createdAt"":""2026-04-21T05:51:02.576Z"",""reason"":""Served 1 correctly"",""feedback"":""Served 1"",""startFrame"":46,""timeSpentWritingFeedBackSec"":19.44,""index"":2},{""startFrame"":48,""feedback"":""Correct onions to the pot x3"",""reason"":""Correct amount of onions to the pot."",""createdAt"":""2026-04-21T05:51:02.435Z"",""timeSpentWritingFeedBackSec"":87.72,""index"":1,""endFrame"":48,""DidSpecifyRange"":true,""baseFrame"":24,""sentiment"":5}]"
"7Uhf4VR5FQA2adMbnjPj","[]","2026-04-21T06:17:42.115Z","2026-04-21T06:19:34.425Z",false,2,,112.31,64,"small_corridor_5_7520000.json","2026-04-21T06:17:42.115Z",115.01,2,"64a9858be9b52e570ffb3c1e","2026-04-21T06:15:47.103Z",,"8490d32f-dd25-4b53-be7c-6dde7e8b9763","[{""baseFrame"":22,""DidSpecifyRange"":false,""endFrame"":null,""sentiment"":5,""createdAt"":""2026-04-21T06:19:34.876Z"",""reason"":""They were extremely efficient."",""feedback"":""They worked really well, and had the correct way of doing things."",""startFrame"":null,""timeSpentWritingFeedBackSec"":54.08,""index"":1}]"
"7oPiWBl9qEFmnRcZ4LPK","[{""frame"":46,""timestampSec"":116,""speed"":0.5}]","","2026-04-10T04:12:54.100Z","",1,"","",321,"multiplayer_schelling_3_5_7520000.json","","",5,"5d9b7c7efaa2860364b16476","","","","[{""endFrame"":93,""DidSpecifyRange"":true,""baseFrame"":99,""sentiment"":4,""startFrame"":5,""feedback"":""the feed back I would like to do that they are doing great work.  they served 3 and their working process is fast."",""reason"":""The reason for this feedback is they are good at working so I feedback them"",""createdAt"":""2026-04-10T04:12:54.955Z"",""timeSpentWritingFeedBackSec"":264.86,""index"":1}]"
"8JDPY3H7EcIV4UrYpaUG","[]","2026-04-21T06:20:26.197Z","2026-04-21T07:05:28.203Z",false,4,,2702.01,512,"multiplayer_schelling_3_5_7520000.json","2026-04-21T06:20:26.197Z",267.26,4,"69bda4649ced6db17f093427","2026-04-21T06:15:58.935Z",,"3eee937e-bc81-4a84-b55b-6e1e87a32516","[{""baseFrame"":99,""DidSpecifyRange"":true,""endFrame"":94,""sentiment"":5,""createdAt"":""2026-04-21T07:05:28.680Z"",""startFrame"":7,""feedback"":""All three chefs are functioning efficiently as a unit, with minimal unnecessary actions, movements or delay. I would rate this as a highly positive segment. Overall, the service is excellent. "",""reason"":""The three chefs are operating as quick, efficient team by filling the pots in quick succession, cooking and serving the customers with minimal delay. To me this appears like a highly functional kitchen. "",""timeSpentWritingFeedBackSec"":469.63,""index"":1}]"
"9O6vf4ec1oSSJKzNMP74","[]","2026-04-21T05:44:17.448Z","2026-04-21T05:44:54.060Z",false,1,,36.61,38,"random3_5_7520000.json","2026-04-21T05:44:17.448Z",103.66,0,"662fa9da0240c2626fc31d58","2026-04-21T05:42:33.786Z",,"16fd5d6c-371c-4520-ae0d-f9d1f93c2f99","[{""startFrame"":84,""feedback"":"""",""reason"":"""",""createdAt"":""2026-04-21T05:44:54.325Z"",""timeSpentWritingFeedBackSec"":0,""index"":1,""endFrame"":88,""baseFrame"":86,""DidSpecifyRange"":true,""sentiment"":3}]"
"AcX8a7FMS4ZEIx2r2v8Y","[]","","2026-04-10T04:24:28.214Z","",2,"","",358,"small_corridor_5_7520000.json","","",5,"69bf9e3da3ff156e34a65991","","","","[{""sentiment"":2,""endFrame"":31,""baseFrame"":29,""DidSpecifyRange"":true,""timeSpentWritingFeedBackSec"":160.6,""index"":1,""startFrame"":27,""feedback"":""One chef is passing the onion to the other chef to take to the pot. They are working together, but it isn't very efficient."",""reason"":""If they both took the onions to the pot it would be faster."",""createdAt"":""2026-04-10T04:24:28.852Z""},{""endFrame"":99,""baseFrame"":92,""DidSpecifyRange"":true,""sentiment"":1,""startFrame"":90,""reason"":""Again, it's not very efficient. If both chefs were working together, such as one taking the dishes to the pot and the other serving, it would be a faster process."",""feedback"":""The same chef that took the onions to the pot starts taking the dishes to the pot and then serves while the other chef just moves onions around."",""createdAt"":""2026-04-10T04:24:29.000Z"",""timeSpentWritingFeedBackSec"":164.08,""index"":2}]"
