assignment_id,group,Map 1,Map 2,Map 3,Map 4,Map group,hasStarted,hasFinished
L001,Low,2_forced_hard_seed1_4520000_40.json,2_forced_hard_4_seed3_9520000_40.json,2_incentivized_hard_seed1_1020000_60.json,2_incentivized_hard_4_seed1_2020000_60.json,O1,FALSE,FALSE
L002,Low,2_forced_hard_seed1_4520000_40.json,2_forced_hard_4_seed3_9520000_40.json,2_incentivized_hard_seed1_1020000_60.json,2_incentivized_hard_4_seed1_2020000_60.json,O1,FALSE,FALSE
L003,Low,2_forced_hard_4_seed3_9520000_40.json,2_incentivized_hard_seed1_1020000_60.json,2_incentivized_hard_4_seed1_2020000_60.json,2_forced_hard_seed1_4520000_40.json,O2,FALSE,FALSE
L004,Low,2_forced_hard_4_seed3_9520000_40.json,2_incentivized_hard_seed1_1020000_60.json,2_incentivized_hard_4_seed1_2020000_60.json,2_forced_hard_seed1_4520000_40.json,O2,FALSE,FALSE
L005,Low,2_incentivized_hard_seed1_1020000_60.json,2_incentivized_hard_4_seed1_2020000_60.json,2_forced_hard_seed1_4520000_40.json,2_forced_hard_4_seed3_9520000_40.json,O3,FALSE,FALSE
L006,Low,2_incentivized_hard_seed1_1020000_60.json,2_incentivized_hard_4_seed1_2020000_60.json,2_forced_hard_seed1_4520000_40.json,2_forced_hard_4_seed3_9520000_40.json,O3,FALSE,FALSE
L007,Low,2_incentivized_hard_4_seed1_2020000_60.json,2_forced_hard_seed1_4520000_40.json,2_forced_hard_4_seed3_9520000_40.json,2_incentivized_hard_seed1_1020000_60.json,O4,FALSE,FALSE
L008,Low,2_incentivized_hard_4_seed1_2020000_60.json,2_forced_hard_seed1_4520000_40.json,2_forced_hard_4_seed3_9520000_40.json,2_incentivized_hard_seed1_1020000_60.json,O4,FALSE,FALSE
L009,Low,2_forced_hard_seed2_3520000_40.json,2_forced_hard_4_seed3_10000000_40.json,2_incentivized_hard_seed2_1220000_60.json,2_incentivized_hard_4_seed3_1820000_40.json,O1,FALSE,FALSE
L010,Low,2_forced_hard_seed2_3520000_40.json,2_forced_hard_4_seed3_10000000_40.json,2_incentivized_hard_seed2_1220000_60.json,2_incentivized_hard_4_seed3_1820000_40.json,O1,FALSE,FALSE
L011,Low,2_forced_hard_4_seed3_10000000_40.json,2_incentivized_hard_seed2_1220000_60.json,2_incentivized_hard_4_seed3_1820000_40.json,2_forced_hard_seed2_3520000_40.json,O2,FALSE,FALSE
L012,Low,2_forced_hard_4_seed3_10000000_40.json,2_incentivized_hard_seed2_1220000_60.json,2_incentivized_hard_4_seed3_1820000_40.json,2_forced_hard_seed2_3520000_40.json,O2,FALSE,FALSE
L013,Low,2_incentivized_hard_seed2_1220000_60.json,2_incentivized_hard_4_seed3_1820000_40.json,2_forced_hard_seed2_3520000_40.json,2_forced_hard_4_seed3_10000000_40.json,O3,FALSE,FALSE
L014,Low,2_incentivized_hard_seed2_1220000_60.json,2_incentivized_hard_4_seed3_1820000_40.json,2_forced_hard_seed2_3520000_40.json,2_forced_hard_4_seed3_10000000_40.json,O3,FALSE,FALSE
L015,Low,2_incentivized_hard_4_seed3_1820000_40.json,2_forced_hard_seed2_3520000_40.json,2_forced_hard_4_seed3_10000000_40.json,2_incentivized_hard_seed2_1220000_60.json,O4,FALSE,FALSE
L016,Low,2_incentivized_hard_4_seed3_1820000_40.json,2_forced_hard_seed2_3520000_40.json,2_forced_hard_4_seed3_10000000_40.json,2_incentivized_hard_seed2_1220000_60.json,O4,FALSE,FALSE
